sku;name;images;video;stock_a;stock_a_days;stock_b;stock_b_days;stock_c;stock_c_days;pvd_old;pvd;pvd_dif;pvr_old;pvr;pvr_dif;category
S7815769;Smartphone Nothing Phone (1) 6,55\" Black 8 GB RAM Octa Core 6,5\" 256 GB;https://cdnbigbuy.com/images/6974434220249_R01.jpg;-;0;1;0;5;10;1;-;384.96;0.00%;-;413.94;0.00%;
S0239956;Smartphone Nokia TA-1139 16 GB RAM;https://cdnbigbuy.com/images/6438409032973_S0239956_P00.jpg;-;0;1;0;5;63;1;-;32.32;0.00%;-;37.58;0.00%;
S7830244;Smartphone Apple iPhone 15 Pro Max 6,7\" 1 TB White;https://cdnbigbuy.com/images/0195949049804_S7830244_P00.jpg;-;0;1;0;5;1;1;-;1,603.87;0.00%;-;1,706.24;0.00%;
S8106414;Smartphone ZTE Blade A53 Pro 64 GB 6,52\" 8 GB RAM Blue;https://cdnbigbuy.com/images/8033779071270_S8106414_P00.jpg;-;0;1;0;5;163;1;-;78.41;0.00%;-;85.23;0.00%;
S0241089;Smartphone Realme C65  6,67\" MediaTek Helio G85 8 GB RAM 256 GB Golden;https://cdnbigbuy.com/images/6941764429987_S0241089_P00.jpg;-;0;1;0;5;5;1;-;133.94;0.00%;-;145.59;0.00%;
S0238055;Smartphone Oppo A98 5G Black 8 GB RAM Snapdragon 6,72\" 256 GB;https://cdnbigbuy.com/images/6932169329132_S0238055_P01.jpg;-;0;1;0;5;8;1;-;226.14;0.00%;-;243.16;0.00%;
S8105632;Smartphone Xiaomi 13T Pro 512 GB 12 GB;https://cdnbigbuy.com/images/6941812736005_S8105632_P01.jpg;-;0;1;0;5;481;1;-;460.59;0.00%;-;484.83;0.00%;
S0238498;Smartphone Oppo 6,72\" 128 GB 6 GB RAM MediaTek Helio G85 Black;https://cdnbigbuy.com/images/6932169333566_I01.jpg;-;0;1;0;5;12;1;-;115.06;0.00%;-;125.07;0.00%;
S9137515;Smartphone Samsung A34 5G 6,6\" 8 GB RAM 256 GB Grey Graphite 48 MP;https://cdnbigbuy.com/images/8806094888959_S9137515_P01.jpg;-;0;1;0;5;104;1;-;241.07;0.00%;-;259.22;0.00%;
S7816972;Smartphone Apple iPhone 13 mini 128GB Pink A15 5,4\" 128 GB 5,4\'\';https://cdnbigbuy.com/images/0194252690161_I00.jpg;-;0;1;0;5;9;1;-;698.55;0.00%;-;751.13;0.00%;
S7821077;Smartphone Samsung Galaxy S23 Black 6,1\" 256 GB Octa Core 8 GB RAM;https://cdnbigbuy.com/images/S7821077_8431775031333_P01.jpg;-;0;1;0;5;5;1;-;804.00;0.00%;-;855.32;0.00%;
S9911366;Smartphone ZTE Blade A35 Lite 4,95\" Octa Core 2 GB RAM 32 GB Grey;https://cdnbigbuy.com/images/6902176114953_S9911366_P00.jpg;-;0;1;0;5;61;1;-;38.02;0.00%;-;43.70;0.00%;
S7762250;Smartphone Zebra TC21 Black 64 GB 5\";https://cdnbigbuy.com/images/5704174208181_R00.jpg;-;0;1;0;5;1;1;-;534.95;0.00%;-;575.22;0.00%;
S5617156;Smartphone Apple iPhone 13;https://cdnbigbuy.com/images/0194252708002_S5617156_P01.jpg;-;0;1;0;5;1;1;-;534.33;0.00%;-;574.55;0.00%;
S5621455;Smartphone Apple iPhone 12 A14 Green 128 GB 6,1\";https://cdnbigbuy.com/images/0194252032671_S5621455_P01.jpg;-;0;1;0;5;1;1;-;527.17;0.00%;-;566.85;0.00%;
S5621452;Smartphone Apple iPhone 12;https://cdnbigbuy.com/images/0194252030875_S5621452_P01.jpg;-;0;1;0;5;1;1;-;464.10;0.00%;-;499.03;0.00%;
S5621596;Smartphone Xiaomi 12T 6,67\" 5G 108 Mp 256 GB;https://cdnbigbuy.com/images/6934177797330_S5621596_P01.jpg;-;0;1;0;5;1;1;-;343.88;0.00%;-;369.76;0.00%;
S7775470;Smartphone Honor 70 Green 8 GB RAM 256 GB 6,67\";https://cdnbigbuy.com/images/6936520811366_I01.jpg;-;0;1;0;5;25;1;-;510.92;0.00%;-;549.38;0.00%;
S5623704;Smartphone Samsung A54 5G 6,6 \" 128 GB Grey 128 GB 8 GB RAM Samsung Exynos;https://cdnbigbuy.com/images/8806094885699_S5623704_P01.jpg;-;1;1;0;5;0;1;439.90;413.51;6.00%;473.01;444.63;6.00%;
S5621458;Smartphone Apple iPhone 12 Purple 6,1\";https://cdnbigbuy.com/images/0194252430262_S5621458_P01.jpg;-;0;1;0;5;1;1;-;527.17;0.00%;-;566.85;0.00%;
S0443353;Smartphone Apple iPhone 12 Pro 4 GB RAM 256 GB 256 GB 6,1\" (Refurbished A);https://cdnbigbuy.com/images/8435607111354_S0443353_P02.jpg;-;1;1;0;5;0;1;821.21;749.46;8.74%;864.43;788.91;8.74%;
S0443326;Smartphone Apple iPhone XR 3 GB RAM 64 GB White 64 bits 6,1\" 64 GB (Refurbished A);https://cdnbigbuy.com/images/8435607107975_S0443326_P01.jpg;-;1;1;0;5;0;1;362.29;325.54;10.14%;381.36;342.67;10.15%;
S7159738;Smartphone Xiaomi Note 10 Pro 6,67\" Octa Core 6 GB RAM 128 GB;https://cdnbigbuy.com/images/6934177734700_S7159738_P00.jpg;-;0;1;0;5;30;1;-;233.38;0.00%;-;250.95;0.00%;
S0452918;Smartphone Motorola moto g53 5G Blue 4 GB RAM 128 GB;https://cdnbigbuy.com/images/0840023243752_I02.jpg;-;0;1;0;5;13;1;-;190.92;0.00%;-;200.97;0.00%;
S7192872;Smartphone Apple Blue 128 GB;https://cdnbigbuy.com/images/0195949036064_S7192872_P01.jpg;-;0;1;0;5;30;1;-;868.32;0.00%;-;933.68;0.00%;
S0452355;Smartphone Cubot X70 12 GB RAM 6,5\" 256 GB;https://cdnbigbuy.com/images/6924136719237_R01.jpg;-;0;1;0;5;19;1;-;179.44;0.00%;-;188.88;0.00%;
S0451130;Smartphone Cubot P80 8 GB RAM 6,6\" 256 GB;https://cdnbigbuy.com/images/6924136719114_R01.jpg;-;0;1;0;5;1;1;-;142.43;0.00%;-;151.52;0.00%;
S8427653;Smartphone Oppo A78 5G 6,43\" Mediatek Dimensity 700 Blue;https://cdnbigbuy.com/images/6932169326100_S8427653_P01.jpg;-;0;1;0;5;4;1;-;216.28;0.00%;-;230.09;0.00%;
