Weight;AD(Andorra);AE(United Arab Emirates);AF(Afghanistan);AG(Antigua and Barbuda);AI(Anguilla);AL(Albania);AM(Armenia);AO(Angola);AR(Argentina);AS(American Samoa);AT(Austria);AU(Australia);AW(Aruba);AZ(Azerbaijan);BA(Bosnia and Herzegovina);BB(Barbados);BD(Bangladesh);BE(Belgium);BF(Burkina Faso);BG(Bulgaria);BH(Bahrain);BI(Burundi);BJ(Benin);BL(Saint Barthelemy);BM(Bermuda);BN(Brunei);BO(Bolivia);BR(Brazil);BS(Bahamas);BT(Bhutan);BW(Botswana);BY(Belarus);BZ(Belize);CA(Canada);CD(Congo, Dem. Republic);CF(Central African Republic);CG(Congo, Republic);CH(Switzerland);CI(Ivory Coast);CK(Cook Islands);CL(Chile);CM(Cameroon);CN(China);CO(Colombia);CR(Costa Rica);CU(Cuba);CV(Cape Verde);CY(Cyprus);CZ(Czech Republic);DE(Germany);DJ(Djibouti);DK(Denmark);DM(Dominica);DO(Dominican Republic);DZ(Algeria);EC(Ecuador);EE(Estonia);EG(Egypt);ER(Eritrea);ES(Spain);ET(Ethiopia);FI(Finland);FJ(Fiji);FM(Micronesia);FO(Faroe Islands);FR(France);GA(Gabon);GB(United Kingdom);GD(Grenada);GE(Georgia);GF(French Guiana);GG(Guernsey);GH(Ghana);GI(Gibraltar);GL(Greenland);GM(Gambia);GN(Guinea);GP(Guadeloupe);GQ(Equatorial Guinea);GR(Greece);GT(Guatemala);GU(Guam);GW(Guinea-Bissau);GY(Guyana);HK(HongKong);HN(Honduras);HR(Croatia);HT(Haiti);HU(Hungary);ID(Indonesia);IE(Ireland);IL(Israel);IN(India);IQ(Iraq);IR(Iran);IS(Iceland);IT(Italy);JE(Jersey);JM(Jamaica);JO(Jordan);JP(Japan);KE(Kenya);KG(Kyrgyzstan);KH(Cambodia);KI(Kiribati);KM(Comoros);KR(South Korea);KW(Kuwait);KY(Cayman Islands);KZ(Kazakhstan);LA(Laos);LB(Lebanon);LC(Saint Lucia);LI(Liechtenstein);LK(Sri Lanka);LR(Liberia);LS(Lesotho);LT(Lithuania);LU(Luxemburg);LV(Latvia);LY(Libya);MA(Morocco);MC(Monaco);MD(Moldova);ME(Montenegro);MF(Saint Martin);MG(Madagascar);MH(Marshall Islands);MK(Macedonia);ML(Mali);MM(Burma (Myanmar));MN(Mongolia);MO(Macau);MP(Northern Mariana Islands);MQ(Martinique);MR(Mauritania);MS(Montserrat);MT(Malta);MU(Mauritius);MV(Maldives);MW(Malawi);MX(Mexico);MY(Malaysia);MZ(Mozambique);NA(Namibia);NC(New Caledonia);NE(Niger);NG(Nigeria);NI(Nicaragua);NL(Netherlands);NO(Norway);NP(Nepal);NR(Nauru);NU(Niue);NZ(New Zealand);OM(Oman);PA(Panama);PE(Peru);PF(French Polynesia);PG(Papua New Guinea);PH(Philippines);PK(Pakistan);PL(Poland);PR(Puerto Rico);PS(Palestinian Territories);PT(Portugal);PW(Palau);PY(Paraguay);QA(Qatar);RE(Reunion Island);RO(Romania);RS(Serbia);RU(Russian Federation);RW(Rwanda);SA(Saudi Arabia);SB(Solomon Islands);SC(Seychelles);SD(Sudan);SE(Sweden);SG(Singapore);SI(Slovenia);SK(Slovakia);SL(Sierra Leone);SM(San Marino);SN(Senegal);SO(Somalia);SR(Suriname);ST(São Tomé and Príncipe);SV(El Salvador);SY(Syria);SZ(Swaziland);TC(Turks and Caicos Islands);TD(Chad);TG(Togo);TH(Thailand);TJ(Tajikistan);TL(East Timor);TM(Turkmenistan);TN(Tunisia);TO(Tonga);TR(Turkey);TT(Trinidad and Tobago);TV(Tuvalu);TW(Taiwan);TZ(Tanzania);UA(Ukraine);UG(Uganda);US(United States);UY(Uruguay);UZ(Uzbekistan);VC(Saint Vincent and the Grenadines);VE(Venezuela);VG(Virgin Islands (British));VI(Virgin Islands (U.S.));VN(Vietnam);VU(Vanuatu);WF(Wallis and Futuna);WS(Samoa);YE(Yemen);YT(Mayotte);ZA(South Africa);ZM(Zambia);ZW(Zimbabwe) 
123;63.05;754.15;959.7;860.49;860.49;117.02;117.02;959.7;817.14;959.7;77.49;959.7;860.49;117.02;117.02;860.49;860.49;63.05;959.7;117.02;959.7;959.7;959.7;959.7;860.49;860.49;860.49;817.14;860.49;959.7;959.7;117.02;860.49;576.4;959.7;1487.33;959.7;86.1;959.7;860.49;817.14;959.7;860.49;860.49;860.49;860.49;959.7;110.1;85.24;77.84;1670.74;86.1;860.49;860.49;959.7;860.49;102.03;959.7;959.7;41.79;959.7;110.1;959.7;959.7;117.02;63.05;959.7;77.84;860.49;117.02;959.7;347.37;959.7;45.05;576.4;959.7;959.7;860.49;959.7;110.1;860.49;860.49;959.7;959.7;860.49;860.49;107.01;860.49;92.25;860.49;87.33;959.7;860.49;959.7;959.7;110.1;77.84;71.34;860.49;959.7;860.49;959.7;959.7;1670.74;959.7;1670.74;860.49;959.7;860.49;803.4;959.7;959.7;959.7;86.53;860.49;959.7;959.7;109.47;62.73;102.03;959.7;117.02;81.18;117.02;117.02;959.7;959.7;959.7;117.02;959.7;860.49;959.7;942.7;959.7;860.49;959.7;860.49;110.1;959.7;959.7;959.7;576.4;860.49;959.7;959.7;860.49;959.7;959.7;860.49;63.05;110.1;959.7;860.49;2034.12;959.7;959.7;860.49;860.49;959.7;959.7;860.49;959.7;84.87;576.4;959.7;45.05;959.7;860.49;959.7;959.7;116.85;115.62;803.4;959.7;959.7;860.49;959.7;959.7;110.1;860.49;92.25;92.25;959.7;117.02;959.7;2134.88;860.49;959.7;860.49;1330.78;959.7;860.49;959.7;959.7;860.49;860.49;959.7;1670.74;959.7;959.7;117.02;860.49;959.7;860.49;959.7;117.02;1670.74;416.5;860.49;803.4;959.7;860.49;860.49;860.49;860.49;1670.74;959.7;959.7;959.7;959.7;959.7;959.7;959.7
124;63.05;754.15;959.7;860.49;860.49;117.02;117.02;959.7;817.14;959.7;77.84;959.7;860.49;117.02;117.02;860.49;860.49;63.05;959.7;117.02;959.7;959.7;959.7;959.7;860.49;860.49;860.49;817.14;860.49;959.7;959.7;117.02;860.49;580.8;959.7;1496;959.7;86.8;959.7;860.49;817.14;959.7;860.49;860.49;860.49;860.49;959.7;110.1;85.93;77.84;1680.37;86.8;860.49;860.49;959.7;860.49;102.86;959.7;959.7;42.13;959.7;110.1;959.7;959.7;117.02;63.05;959.7;77.84;860.49;117.02;959.7;349.32;959.7;45.05;580.8;959.7;959.7;860.49;959.7;110.1;860.49;860.49;959.7;959.7;860.49;860.49;107.88;860.49;93;860.49;88.04;959.7;860.49;959.7;959.7;110.1;77.84;71.92;860.49;959.7;860.49;959.7;959.7;1680.37;959.7;1680.37;860.49;959.7;860.49;809.6;959.7;959.7;959.7;87.23;860.49;959.7;959.7;110.36;63.05;102.86;959.7;117.02;81.84;117.02;117.02;959.7;959.7;959.7;117.02;959.7;860.49;959.7;950;959.7;860.49;959.7;860.49;110.1;959.7;959.7;959.7;580.8;860.49;959.7;959.7;860.49;959.7;959.7;860.49;63.05;110.1;959.7;860.49;2034.12;959.7;959.7;860.49;860.49;959.7;959.7;860.49;959.7;85.56;580.8;959.7;45.05;959.7;860.49;959.7;959.7;117.02;116.56;809.6;959.7;959.7;860.49;959.7;959.7;110.1;860.49;93;93;959.7;117.02;959.7;2134.88;860.49;959.7;860.49;1330.78;959.7;860.49;959.7;959.7;860.49;860.49;959.7;1680.37;959.7;959.7;117.02;860.49;959.7;860.49;959.7;117.02;1680.37;419.6;860.49;809.6;959.7;860.49;860.49;860.49;860.49;1680.37;959.7;959.7;959.7;959.7;959.7;959.7;959.7
125;74.5;889.8;1131.36;1016.53;1016.53;136.69;136.69;1131.36;964.2;1131.36;78.75;1131.36;1016.53;136.69;136.69;1016.53;1016.53;74.5;1131.36;136.69;1071.6;1131.36;1131.36;1131.36;1016.53;1016.53;1016.53;964.2;1016.53;1131.36;1131.36;136.69;1016.53;585.2;1131.36;1504.68;1131.36;87.5;1131.36;1016.53;964.2;1131.36;957.3;1016.53;1016.53;1016.53;1131.36;128.4;86.63;86.94;1689.99;87.5;1016.53;1016.53;1131.36;1016.53;103.69;1071.6;1131.36;42.47;1131.36;128.4;1131.36;1131.36;136.69;74.5;1131.36;86.94;1016.53;136.69;1131.36;351.27;1131.36;52.73;585.2;1131.36;1131.36;1016.53;1131.36;128.4;1016.53;1016.53;1131.36;1131.36;957.3;1016.53;108.75;1016.53;93.75;1016.53;88.75;1071.6;957.3;1131.36;1131.36;128.4;86.94;72.5;1016.53;1071.6;957.3;1131.36;1131.36;1689.99;1131.36;1689.99;957.3;1071.6;1016.53;815.8;1131.36;1071.6;1131.36;87.94;957.3;1131.36;1131.36;111.25;63.75;103.69;1131.36;136.69;82.5;136.69;136.69;1131.36;1131.36;1131.36;136.69;1131.36;1016.53;1131.36;957.3;1131.36;1016.53;1131.36;1016.53;128.4;1131.36;1131.36;1131.36;585.2;1016.53;1131.36;1131.36;1016.53;1131.36;1131.36;1016.53;74.5;128.4;1131.36;1016.53;2034.12;1111;1131.36;1016.53;1016.53;1131.36;1131.36;1016.53;1131.36;86.25;585.2;1131.36;50.56;1131.36;1016.53;1071.6;1131.36;118.75;117.5;815.8;1131.36;1071.6;1016.53;1131.36;1131.36;128.4;957.3;93.75;93.75;1131.36;136.69;1131.36;2134.88;1016.53;1131.36;1016.53;1330.78;1131.36;1016.53;1131.36;1131.36;957.3;1016.53;1131.36;1689.99;1131.36;1131.36;136.69;1016.53;1131.36;957.3;1131.36;136.69;1689.99;422.7;1016.53;815.8;1131.36;1016.53;1016.53;1016.53;1016.53;1689.99;1131.36;1131.36;1131.36;1131.36;1131.36;1131.36;1131.36
126;74.5;889.8;1131.36;1016.53;1016.53;136.69;136.69;1131.36;964.2;1131.36;79.38;1131.36;1016.53;136.69;136.69;1016.53;1016.53;74.5;1131.36;136.69;1079.8;1131.36;1131.36;1131.36;1016.53;1016.53;1016.53;964.2;1016.53;1131.36;1131.36;136.69;1016.53;589.6;1131.36;1513.35;1131.36;88.2;1131.36;1016.53;964.2;1131.36;964.6;1016.53;1016.53;1016.53;1131.36;128.4;87.32;86.94;1699.62;88.2;1016.53;1016.53;1131.36;1016.53;104.52;1079.8;1131.36;42.81;1131.36;128.4;1131.36;1131.36;136.69;74.5;1131.36;86.94;1016.53;136.69;1131.36;353.21;1131.36;52.73;589.6;1131.36;1131.36;1016.53;1131.36;128.4;1016.53;1016.53;1131.36;1131.36;964.6;1016.53;109.62;1016.53;94.5;1016.53;89.46;1079.8;964.6;1131.36;1131.36;128.4;86.94;73.08;1016.53;1079.8;964.6;1131.36;1131.36;1699.62;1131.36;1699.62;964.6;1079.8;1016.53;822;1131.36;1079.8;1131.36;88.64;964.6;1131.36;1131.36;112.14;64.26;104.52;1131.36;136.69;83.16;136.69;136.69;1131.36;1131.36;1131.36;136.69;1131.36;1016.53;1131.36;964.6;1131.36;1016.53;1131.36;1016.53;128.4;1131.36;1131.36;1131.36;589.6;1016.53;1131.36;1131.36;1016.53;1131.36;1131.36;1016.53;74.5;128.4;1131.36;1016.53;2034.12;1119.5;1131.36;1016.53;1016.53;1131.36;1131.36;1016.53;1131.36;86.94;589.6;1131.36;50.93;1131.36;1016.53;1079.8;1131.36;119.7;118.44;822;1131.36;1079.8;1016.53;1131.36;1131.36;128.4;964.6;94.5;94.5;1131.36;136.69;1131.36;2134.88;1016.53;1131.36;1016.53;1330.78;1131.36;1016.53;1131.36;1131.36;964.6;1016.53;1131.36;1699.62;1131.36;1131.36;136.69;1016.53;1131.36;964.6;1131.36;136.69;1699.62;425.8;1016.53;822;1131.36;1016.53;1016.53;1016.53;1016.53;1699.62;1131.36;1131.36;1131.36;1131.36;1131.36;1131.36;1131.36
127;74.5;889.8;1131.36;1016.53;1016.53;136.69;136.69;1131.36;964.2;1131.36;80.01;1131.36;1016.53;136.69;136.69;1016.53;1016.53;74.5;1131.36;136.69;1088;1131.36;1131.36;1131.36;1016.53;1016.53;1016.53;964.2;1016.53;1131.36;1131.36;136.69;1016.53;594;1131.36;1522.03;1131.36;88.9;1131.36;1016.53;964.2;1131.36;971.9;1016.53;1016.53;1016.53;1131.36;128.4;88.01;86.94;1709.24;88.9;1016.53;1016.53;1131.36;1016.53;105.35;1088;1131.36;43.15;1131.36;128.4;1131.36;1131.36;136.69;74.5;1131.36;86.94;1016.53;136.69;1131.36;355.16;1131.36;52.73;594;1131.36;1131.36;1016.53;1131.36;128.4;1016.53;1016.53;1131.36;1131.36;971.9;1016.53;110.49;1016.53;95.25;1016.53;90.17;1088;971.9;1131.36;1131.36;128.4;86.94;73.66;1016.53;1088;971.9;1131.36;1131.36;1709.24;1131.36;1709.24;971.9;1088;1016.53;828.2;1131.36;1088;1131.36;89.34;971.9;1131.36;1131.36;113.03;64.77;105.35;1131.36;136.69;83.82;136.69;136.69;1131.36;1131.36;1131.36;136.69;1131.36;1016.53;1131.36;971.9;1131.36;1016.53;1131.36;1016.53;128.4;1131.36;1131.36;1131.36;594;1016.53;1131.36;1131.36;1016.53;1131.36;1131.36;1016.53;74.5;128.4;1131.36;1016.53;2034.12;1128;1131.36;1016.53;1016.53;1131.36;1131.36;1016.53;1131.36;87.63;594;1131.36;51.31;1131.36;1016.53;1088;1131.36;120.65;119.38;828.2;1131.36;1088;1016.53;1131.36;1131.36;128.4;971.9;95.25;95.25;1131.36;136.69;1131.36;2134.88;1016.53;1131.36;1016.53;1330.78;1131.36;1016.53;1131.36;1131.36;971.9;1016.53;1131.36;1709.24;1131.36;1131.36;136.69;1016.53;1131.36;971.9;1131.36;136.69;1709.24;428.9;1016.53;828.2;1131.36;1016.53;1016.53;1016.53;1016.53;1709.24;1131.36;1131.36;1131.36;1131.36;1131.36;1131.36;1131.36
128;74.5;889.8;1131.36;1016.53;1016.53;136.69;136.69;1131.36;964.2;1131.36;80.64;1131.36;1016.53;136.69;136.69;1016.53;1016.53;74.5;1131.36;136.69;1096.2;1131.36;1131.36;1131.36;1016.53;1016.53;1016.53;964.2;1016.53;1131.36;1131.36;136.69;1016.53;598.4;1131.36;1530.71;1131.36;89.6;1131.36;1016.53;964.2;1131.36;979.2;1016.53;1016.53;1016.53;1131.36;128.4;88.7;86.94;1718.86;89.6;1016.53;1016.53;1131.36;1016.53;106.18;1096.2;1131.36;43.48;1131.36;128.4;1131.36;1131.36;136.69;74.5;1131.36;86.94;1016.53;136.69;1131.36;357.11;1131.36;52.73;598.4;1131.36;1131.36;1016.53;1131.36;128.4;1016.53;1016.53;1131.36;1131.36;979.2;1016.53;111.36;1016.53;96;1016.53;90.88;1096.2;979.2;1131.36;1131.36;128.4;86.94;74.24;1016.53;1096.2;979.2;1131.36;1131.36;1718.86;1131.36;1718.86;979.2;1096.2;1016.53;834.4;1131.36;1096.2;1131.36;90.05;979.2;1131.36;1131.36;113.92;65.28;106.18;1131.36;136.69;84.48;136.69;136.69;1131.36;1131.36;1131.36;136.69;1131.36;1016.53;1131.36;979.2;1131.36;1016.53;1131.36;1016.53;128.4;1131.36;1131.36;1131.36;598.4;1016.53;1131.36;1131.36;1016.53;1131.36;1131.36;1016.53;74.5;128.4;1131.36;1016.53;2034.12;1131.36;1131.36;1016.53;1016.53;1131.36;1131.36;1016.53;1131.36;88.32;598.4;1131.36;51.68;1131.36;1016.53;1096.2;1131.36;121.6;120.32;834.4;1131.36;1096.2;1016.53;1131.36;1131.36;128.4;979.2;96;96;1131.36;136.69;1131.36;2134.88;1016.53;1131.36;1016.53;1330.78;1131.36;1016.53;1131.36;1131.36;979.2;1016.53;1131.36;1718.86;1131.36;1131.36;136.69;1016.53;1131.36;979.2;1131.36;136.69;1718.86;432;1016.53;834.4;1131.36;1016.53;1016.53;1016.53;1016.53;1718.86;1131.36;1131.36;1131.36;1131.36;1131.36;1131.36;1131.36
129;74.5;889.8;1131.36;1016.53;1016.53;136.69;136.69;1131.36;964.2;1131.36;81.27;1131.36;1016.53;136.69;136.69;1016.53;1016.53;74.5;1131.36;136.69;1104.4;1131.36;1131.36;1131.36;1016.53;1016.53;1016.53;964.2;1016.53;1131.36;1131.36;136.69;1016.53;602.8;1131.36;1539.38;1131.36;90.3;1131.36;1016.53;964.2;1131.36;986.5;1016.53;1016.53;1016.53;1131.36;128.4;89.4;86.94;1728.49;90.3;1016.53;1016.53;1131.36;1016.53;107.01;1104.4;1131.36;43.82;1131.36;128.4;1131.36;1131.36;136.69;74.5;1131.36;86.94;1016.53;136.69;1131.36;359.06;1131.36;52.73;602.8;1131.36;1131.36;1016.53;1131.36;128.4;1016.53;1016.53;1131.36;1131.36;986.5;1016.53;112.23;1016.53;96.75;1016.53;91.59;1104.4;986.5;1131.36;1131.36;128.4;86.94;74.82;1016.53;1104.4;986.5;1131.36;1131.36;1728.49;1131.36;1728.49;986.5;1104.4;1016.53;840.6;1131.36;1104.4;1131.36;90.75;986.5;1131.36;1131.36;114.81;65.79;107.01;1131.36;136.69;85.14;136.69;136.69;1131.36;1131.36;1131.36;136.69;1131.36;1016.53;1131.36;986.5;1131.36;1016.53;1131.36;1016.53;128.4;1131.36;1131.36;1131.36;602.8;1016.53;1131.36;1131.36;1016.53;1131.36;1131.36;1016.53;74.5;128.4;1131.36;1016.53;2034.12;1131.36;1131.36;1016.53;1016.53;1131.36;1131.36;1016.53;1131.36;89.01;602.8;1131.36;52.06;1131.36;1016.53;1104.4;1131.36;122.55;121.26;840.6;1131.36;1104.4;1016.53;1131.36;1131.36;128.4;986.5;96.75;96.75;1131.36;136.69;1131.36;2134.88;1016.53;1131.36;1016.53;1330.78;1131.36;1016.53;1131.36;1131.36;986.5;1016.53;1131.36;1728.49;1131.36;1131.36;136.69;1016.53;1131.36;986.5;1131.36;136.69;1728.49;435.1;1016.53;840.6;1131.36;1016.53;1016.53;1016.53;1016.53;1728.49;1131.36;1131.36;1131.36;1131.36;1131.36;1131.36;1131.36
130;74.5;889.8;1131.36;1016.53;1016.53;136.69;136.69;1131.36;964.2;1131.36;81.9;1131.36;1016.53;136.69;136.69;1016.53;1016.53;74.5;1131.36;136.69;1112.6;1131.36;1131.36;1131.36;1016.53;1016.53;1016.53;964.2;1016.53;1131.36;1131.36;136.69;1016.53;607.2;1131.36;1548.06;1131.36;91;1131.36;1016.53;964.2;1131.36;993.8;1016.53;1016.53;1016.53;1131.36;128.4;90.09;86.94;1738.11;91;1016.53;1016.53;1131.36;1016.53;107.84;1112.6;1131.36;44.16;1131.36;128.4;1131.36;1131.36;136.69;74.5;1131.36;86.94;1016.53;136.69;1131.36;361;1131.36;52.73;607.2;1131.36;1131.36;1016.53;1131.36;128.4;1016.53;1016.53;1131.36;1131.36;993.8;1016.53;113.1;1016.53;97.5;1016.53;92.3;1112.6;993.8;1131.36;1131.36;128.4;86.94;75.4;1016.53;1112.6;993.8;1131.36;1131.36;1738.11;1131.36;1738.11;993.8;1112.6;1016.53;846.8;1131.36;1112.6;1131.36;91.46;993.8;1131.36;1131.36;115.7;66.3;107.84;1131.36;136.69;85.8;136.69;136.69;1131.36;1131.36;1131.36;136.69;1131.36;1016.53;1131.36;993.8;1131.36;1016.53;1131.36;1016.53;128.4;1131.36;1131.36;1131.36;607.2;1016.53;1131.36;1131.36;1016.53;1131.36;1131.36;1016.53;74.5;128.4;1131.36;1016.53;2034.12;1131.36;1131.36;1016.53;1016.53;1131.36;1131.36;1016.53;1131.36;89.7;607.2;1131.36;52.43;1131.36;1016.53;1112.6;1131.36;123.5;122.2;846.8;1131.36;1112.6;1016.53;1131.36;1131.36;128.4;993.8;97.5;97.5;1131.36;136.69;1131.36;2134.88;1016.53;1131.36;1016.53;1330.78;1131.36;1016.53;1131.36;1131.36;993.8;1016.53;1131.36;1738.11;1131.36;1131.36;136.69;1016.53;1131.36;993.8;1131.36;136.69;1738.11;438.2;1016.53;846.8;1131.36;1016.53;1016.53;1016.53;1016.53;1738.11;1131.36;1131.36;1131.36;1131.36;1131.36;1131.36;1131.36
131;74.5;889.8;1131.36;1016.53;1016.53;136.69;136.69;1131.36;964.2;1131.36;82.53;1131.36;1016.53;136.69;136.69;1016.53;1016.53;74.5;1131.36;136.69;1120.8;1131.36;1131.36;1131.36;1016.53;1016.53;1016.53;964.2;1016.53;1131.36;1131.36;136.69;1016.53;611.6;1131.36;1556.73;1131.36;91.7;1131.36;1016.53;964.2;1131.36;1001.1;1016.53;1016.53;1016.53;1131.36;128.4;90.78;86.94;1747.74;91.7;1016.53;1016.53;1131.36;1016.53;108.66;1120.8;1131.36;44.5;1131.36;128.4;1131.36;1131.36;136.69;74.5;1131.36;86.94;1016.53;136.69;1131.36;362.95;1131.36;52.73;611.6;1131.36;1131.36;1016.53;1131.36;128.4;1016.53;1016.53;1131.36;1131.36;1001.1;1016.53;113.97;1016.53;98.25;1016.53;93.01;1120.8;1001.1;1131.36;1131.36;128.4;86.94;75.98;1016.53;1120.8;1001.1;1131.36;1131.36;1747.74;1131.36;1747.74;1001.1;1120.8;1016.53;853;1131.36;1120.8;1131.36;92.16;1001.1;1131.36;1131.36;116.59;66.81;108.66;1131.36;136.69;86.46;136.69;136.69;1131.36;1131.36;1131.36;136.69;1131.36;1016.53;1131.36;1001.1;1131.36;1016.53;1131.36;1016.53;128.4;1131.36;1131.36;1131.36;611.6;1016.53;1131.36;1131.36;1016.53;1131.36;1131.36;1016.53;74.5;128.4;1131.36;1016.53;2034.12;1131.36;1131.36;1016.53;1016.53;1131.36;1131.36;1016.53;1131.36;90.39;611.6;1131.36;52.73;1131.36;1016.53;1120.8;1131.36;124.45;123.14;853;1131.36;1120.8;1016.53;1131.36;1131.36;128.4;1001.1;98.25;98.25;1131.36;136.69;1131.36;2134.88;1016.53;1131.36;1016.53;1330.78;1131.36;1016.53;1131.36;1131.36;1001.1;1016.53;1131.36;1747.74;1131.36;1131.36;136.69;1016.53;1131.36;1001.1;1131.36;136.69;1747.74;441.3;1016.53;853;1131.36;1016.53;1016.53;1016.53;1016.53;1747.74;1131.36;1131.36;1131.36;1131.36;1131.36;1131.36;1131.36
132;74.5;889.8;1131.36;1016.53;1016.53;136.69;136.69;1131.36;964.2;1131.36;83.16;1131.36;1016.53;136.69;136.69;1016.53;1016.53;74.5;1131.36;136.69;1129;1131.36;1131.36;1131.36;1016.53;1016.53;1016.53;964.2;1016.53;1131.36;1131.36;136.69;1016.53;616;1131.36;1565.41;1131.36;92.4;1131.36;1016.53;964.2;1131.36;1008.4;1016.53;1016.53;1016.53;1131.36;128.4;91.48;86.94;1757.36;92.4;1016.53;1016.53;1131.36;1016.53;109.49;1129;1131.36;44.84;1131.36;128.4;1131.36;1131.36;136.69;74.5;1131.36;86.94;1016.53;136.69;1131.36;364.9;1131.36;52.73;616;1131.36;1131.36;1016.53;1131.36;128.4;1016.53;1016.53;1131.36;1131.36;1008.4;1016.53;114.84;1016.53;99;1016.53;93.72;1129;1008.4;1131.36;1131.36;128.4;86.94;76.56;1016.53;1129;1008.4;1131.36;1131.36;1757.36;1131.36;1757.36;1008.4;1129;1016.53;859.2;1131.36;1129;1131.36;92.86;1008.4;1131.36;1131.36;117.48;67.32;109.49;1131.36;136.69;87.12;136.69;136.69;1131.36;1131.36;1131.36;136.69;1131.36;1016.53;1131.36;1008.4;1131.36;1016.53;1131.36;1016.53;128.4;1131.36;1131.36;1131.36;616;1016.53;1131.36;1131.36;1016.53;1131.36;1131.36;1016.53;74.5;128.4;1131.36;1016.53;2034.12;1131.36;1131.36;1016.53;1016.53;1131.36;1131.36;1016.53;1131.36;91.08;616;1131.36;52.73;1131.36;1016.53;1129;1131.36;125.4;124.08;859.2;1131.36;1129;1016.53;1131.36;1131.36;128.4;1008.4;99;99;1131.36;136.69;1131.36;2134.88;1016.53;1131.36;1016.53;1330.78;1131.36;1016.53;1131.36;1131.36;1008.4;1016.53;1131.36;1757.36;1131.36;1131.36;136.69;1016.53;1131.36;1008.4;1131.36;136.69;1757.36;444.4;1016.53;859.2;1131.36;1016.53;1016.53;1016.53;1016.53;1757.36;1131.36;1131.36;1131.36;1131.36;1131.36;1131.36;1131.36
133;74.5;889.8;1131.36;1016.53;1016.53;136.69;136.69;1131.36;964.2;1131.36;83.79;1131.36;1016.53;136.69;136.69;1016.53;1016.53;74.5;1131.36;136.69;1131.36;1131.36;1131.36;1131.36;1016.53;1016.53;1016.53;964.2;1016.53;1131.36;1131.36;136.69;1016.53;620.4;1131.36;1574.08;1131.36;93.1;1131.36;1016.53;964.2;1131.36;1015.7;1016.53;1016.53;1016.53;1131.36;128.4;92.17;86.94;1766.99;93.1;1016.53;1016.53;1131.36;1016.53;110.32;1131.36;1131.36;45.18;1131.36;128.4;1131.36;1131.36;136.69;74.5;1131.36;86.94;1016.53;136.69;1131.36;366.84;1131.36;52.73;620.4;1131.36;1131.36;1016.53;1131.36;128.4;1016.53;1016.53;1131.36;1131.36;1015.7;1016.53;115.71;1016.53;99.75;1016.53;94.43;1131.36;1015.7;1131.36;1131.36;128.4;86.94;77.14;1016.53;1131.36;1015.7;1131.36;1131.36;1766.99;1131.36;1766.99;1015.7;1131.36;1016.53;865.4;1131.36;1131.36;1131.36;93.57;1015.7;1131.36;1131.36;118.37;67.83;110.32;1131.36;136.69;87.78;136.69;136.69;1131.36;1131.36;1131.36;136.69;1131.36;1016.53;1131.36;1015.7;1131.36;1016.53;1131.36;1016.53;128.4;1131.36;1131.36;1131.36;620.4;1016.53;1131.36;1131.36;1016.53;1131.36;1131.36;1016.53;74.5;128.4;1131.36;1016.53;2034.12;1131.36;1131.36;1016.53;1016.53;1131.36;1131.36;1016.53;1131.36;91.77;620.4;1131.36;52.73;1131.36;1016.53;1131.36;1131.36;126.35;125.02;865.4;1131.36;1131.36;1016.53;1131.36;1131.36;128.4;1015.7;99.75;99.75;1131.36;136.69;1131.36;2134.88;1016.53;1131.36;1016.53;1330.78;1131.36;1016.53;1131.36;1131.36;1015.7;1016.53;1131.36;1766.99;1131.36;1131.36;136.69;1016.53;1131.36;1015.7;1131.36;136.69;1766.99;447.5;1016.53;865.4;1131.36;1016.53;1016.53;1016.53;1016.53;1766.99;1131.36;1131.36;1131.36;1131.36;1131.36;1131.36;1131.36
